wid,price,variety,designation,region,province,country,winery,encoded,color
1,150.0,Rhône-style Red Blend,Le Méal Ermitage,Hermitage,Rhône Valley,France,M. Chapoutier,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
2,150.0,Cabernet Sauvignon,Herb Lamb Vineyard,"Napa Valley, Napa",California,US,Colgin,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0", red
3,100.0,Cabernet Sauvignon,SLV,"Napa Valley, Napa",California,US,Stag's Leap Wine Cellars,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4,120.0,Red Blend,Maya,"Napa Valley, Napa",California,US,Dalla Valle,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0", red
5,175.0,Rhône-style Red Blend,La Mouline,Côte Rôtie,Rhône Valley,France,E. Guigal,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
6,175.0,Rhône-style Red Blend,La Turque,Côte Rôtie,Rhône Valley,France,E. Guigal,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
7,150.0,Rhône-style Red Blend,La Landonne,Côte Rôtie,Rhône Valley,France,Domaine Jean-Michel Gerin,"0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0", red
8,37.0,Rhône-style Red Blend,Empreintes,Cornas,Rhône Valley,France,Éric & Jöel Durand,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
9,150.0,Bordeaux-style Red Blend,Cask 23,"Napa Valley, Napa",California,US,Stag's Leap Wine Cellars,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
10,75.0,Rhône-style White Blend,Chevalier de Sterimberg,Hermitage,Rhône Valley,France,Paul Jaboulet Aîné,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
11,131.0,Rhône-style Red Blend,La Chapelle,Hermitage,Rhône Valley,France,Paul Jaboulet Aîné,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0", red
12,98.0,Rhône-style Red Blend,Les Bessards,Hermitage,Rhône Valley,France,Delas Frères,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
13,40.0,Syrah,Brune et Blonde,Côte Rôtie,Rhône Valley,France,E. Guigal,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
14,42.0,Cabernet Sauvignon,Red Mountain Reserve,"Columbia Valley (WA), Columbia Valley",Washington,US,Hedges,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0", red
15,15.0,Sauvignon Blanc,Limited Selection,nan,Leyda Valley,Chile,Montes,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
16,30.0,Riesling,Wehlener Sonnenuhr Spätlese,nan,Mosel,Germany,Dr. Loosen,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
17,55.0,Riesling,Late Harvest,nan,Martinborough,New Zealand,Dry River,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
18,30.0,Pinot Noir,Alazan,nan,Casablanca Valley,Chile,Kingston Family,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0", red
19,42.0,Chardonnay,Coddington,nan,Kumeu,New Zealand,Kumeu River,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
20,49.0,Red Blend,Sabbie di Sopra il Bosco,Terre del Volturno,Southern Italy,Italy,Nanni Copé,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
21,43.0,Riesling,Piesporter Goldtröpfchen Trocken GG,nan,Mosel,Germany,Reichsgraf von Kesselstatt,"0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
22,25.0,Riesling,Wehlener Sonnenuhr Kabinett,nan,Mosel,Germany,S.A. Prüm,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
23,35.0,Red Blend,The Blend Limited Edition,nan,Aconcagua Valley,Chile,Errazuriz,"0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0", red
24,33.0,Fiano,Pietracalda,Fiano di Avellino,Southern Italy,Italy,Feudi di San Gregorio,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
25,22.0,Sauvignon Blanc,Côtes de Morogues,Menetou-Salon,Loire Valley,France,Fournier Père et Fils,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
26,,Melon,Vieilles Vignes Sur Lie,Muscadet Sèvre et Maine,Loire Valley,France,Gadais Père et Fils,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
27,79.0,Cabernet Blend,The Mackenzie,nan,Stellenbosch,South Africa,Hartenberg,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
28,79.0,Shiraz,The Stork,nan,Stellenbosch,South Africa,Hartenberg,"0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
29,48.0,Pinot Noir,Premier Cuvée,"Willamette Valley, Willamette Valley",Oregon,US,Archery Summit,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0", red
30,40.0,Riesling,Geyerscheiss,nan,Rheinhessen,Germany,Würtz,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
31,20.0,Bordeaux-style Red Blend,uQamata,nan,Stellenbosch,South Africa,Xavier Flouret,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
32,28.0,Zinfandel,Dillian Ranch,"Amador County, Sierra Foothills",California,US,Joel Gott,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
33,35.0,Chardonnay,Red Hen Ranch,"Oak Knoll District, Napa",California,US,Laird,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
34,32.0,Pinot Noir,Reserve,"Willamette Valley, Willamette Valley",Oregon,US,Lange,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
35,40.0,Red Blend,The Chocolate Block,nan,Western Cape,South Africa,Boekenhoutskloof,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
36,59.0,Spätburgunder,Bombacher Sommerhalde R Trocken,nan,Baden,Germany,Huber,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
37,16.0,"Corvina, Rondinella, Molinara",Solane,Valpolicella Classico Superiore Ripasso,Veneto,Italy,Santi,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
38,30.0,Merlot,Ranch Reserve,"Knights Valley, Sonoma",California,US,Summers,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
