,wid,points,title,description,taster_name,taster_twitter_handle
0,1,98,M. Chapoutier 1999 Le Méal Ermitage  (Hermitage),"Chapoutier's selections of the best parcels of vines in Hermitage are set to become legendary. Sold under the ancient spelling of the appellation name (Ermitage), they represent the epitome of the power and concentration that lies behind the reputation of the appellation. This cuvée is the best of the collection, with its brooding, opaque character, suggesting rather than revealing power at this stage. Age it until your new-born baby is old enough to drink, and it will be just about ready.",Roger Voss,@vossroger
1,2,96,Colgin 1999 Herb Lamb Vineyard Cabernet Sauvignon (Napa Valley),"Aromas lean toward black cherry, chocolate and herbs, which sally forth on the palate serving up more dense fruit, licorice, coffee and beautiful toast flavors. Tannins are smooth, supple and ripe. Long, lush and decadent on the finish.",Anonymous,
2,3,96,Stag's Leap Wine Cellars 1998 SLV Cabernet Sauvignon (Napa Valley),"Certainly one of the successes of the vintage. Packed with cassis, sage, plum, tobacco, earth and smoky oak, and perfectly dry and balanced. Sheer joy in the mouth, like liquid velvet. It changes every second, offering up tiers of flavors through the spicy finish.",Anonymous,
3,4,96,Dalla Valle 1999 Maya Red (Napa Valley),"Plush, smooth and packed tight with complex flavors. Blackberry, anise, black cherry, tar, coal, spice, earth and herbs remain tightly wound, waiting patiently to reveal their full charm in time. Supple, smooth tannins and beautiful balance give this wine classic elegance.",Anonymous,
4,5,96,E. Guigal 1998 La Mouline  (Côte Rôtie),"Even though the 42 months this wine has spent in new wood give it an intensely toasty character, the enormously soft, perfumed fruits and ripe, sweet flavors that go along with the wood produce a finely tuned, balanced wine that should age well over many years. As an expression of pure Syrah, there are few better.",Roger Voss,@vossroger
5,6,95,E. Guigal 1998 La Turque  (Côte Rôtie),"A firm, dry, foursquare wine that has power and structure rather than the immediate perfumes of La Mouline, the partner cuvée from Guigal. This is the wine for those who want power with big tannins, and they don't come more powerful or tannic than this. Its aging potential is enormous:  after 10 years there should be more sign of the perfumed fruit which is there, somewhere.",Roger Voss,@vossroger
6,7,95,Domaine Jean-Michel Gerin 1999 La Landonne  (Côte Rôtie),"Here is a superbly rich and smooth wine. Aromas of violets and flavors of blueberries and red cherries along with dusty tannins, give this wine both immediate appeal and the promise of a good long-term future.",Roger Voss,@vossroger
7,8,95,Éric & Jöel Durand 1999 Empreintes  (Cornas),"A huge, ink-black wine with all the brooding majesty that gives Cornas its reputation. A blockbuster with enormous rich, sweet tannins. At the end it is the quality of the superripe fruit from old vines that dominates, but it is certainly a wine to keep for generations.",Roger Voss,@vossroger
8,9,95,Stag's Leap Wine Cellars 1998 Cask 23 Red (Napa Valley),"What a great success. Oozes with blackcurrant jam and cassis and a dash of black pepper. Flamboyant oak adds a perfume of vanilla and smoke. Fleshy, long and full, this beautiful wine is not a monster, but it coats the palate with spicy flavors that epitomize class and style.",Anonymous,
9,10,94,Paul Jaboulet Aîné 1999 Chevalier de Sterimberg White (Hermitage),"Jaboulet's white Hermitage is named after the crusading knight who built and settled in the small chapel on the Hermitage hill. The wine itself is powerful, rich and concentrated, with heady perfumes of wild flowers and nuts. The palate combines a hint of wood, a full-bodied, oily texture and a stunning burst of acidity that leaves a crisp aftertaste.",Roger Voss,@vossroger
