,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
0,1,150.0,Le Méal Ermitage,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,M. Chapoutier,chapoutiers selections   best parcels  vines  hermitage  set  become legendary sold   ancient spelling   appellation name ermitage  represent  epitome   power  concentration  lies behind  reputation   appellation  cuvée   best   collection   brooding opaque character suggesting rather  revealing power   stage age    newborn baby  old enough  drink     just  ready,good legendary ancient good opaque newborn old enough,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,2,150.0,Herb Lamb Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,US,Colgin,aromas lean toward black cherry chocolate  herbs  sally forth   palate serving   dense fruit licorice coffee  beautiful toast flavors tannins  smooth supple  ripe long lush  decadent   finish,black dense licorice beautiful smooth supple ripe lush decadent,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
2,3,100.0,SLV,Cabernet Sauvignon,Napa Valley,Napa,California,US,Stag's Leap Wine Cellars,certainly one   successes   vintage packed  cassis sage plum tobacco earth  smoky oak  perfectly dry  balanced sheer joy   mouth like liquid velvet  changes every second offering  tiers  flavors   spicy finish,dry balanced sheer liquid second,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,4,120.0,Maya,Red Blend,Napa Valley,Napa,California,US,Dalla Valle,plush smooth  packed tight  complex flavors blackberry anise black cherry tar coal spice earth  herbs remain tightly wound waiting patiently  reveal  full charm  time supple smooth tannins  beautiful balance give  wine classic elegance,smooth complex wound full beautiful classic,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
4,5,175.0,La Mouline,Rhône-style Red Blend,Côte Rôtie,,Rhône Valley,France,E. Guigal,even though  42 months  wine  spent  new wood give   intensely toasty character  enormously soft perfumed fruits  ripe sweet flavors  go along   wood produce  finely tuned balanced wine   age well  many years   expression  pure syrah    better,toasty soft perfumed ripe sweet balanced many pure,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,6,175.0,La Turque,Rhône-style Red Blend,Côte Rôtie,,Rhône Valley,France,E. Guigal, firm dry foursquare wine   power  structure rather   immediate perfumes  la mouline  partner cuvée  guigal    wine    want power  big tannins   dont come  powerful  tannic    aging potential  enormous   10 years     sign   perfumed fruit    somewhere,dry immediate big powerful tannic potential enormous,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
6,7,150.0,La Landonne,Rhône-style Red Blend,Côte Rôtie,,Rhône Valley,France,Domaine Jean-Michel Gerin,   superbly rich  smooth wine aromas  violets  flavors  blueberries  red cherries along  dusty tannins give  wine  immediate appeal   promise   good longterm future,rich smooth red dusty immediate,"0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
7,8,37.0,Empreintes,Rhône-style Red Blend,Cornas,,Rhône Valley,France,Éric & Jöel Durand, huge inkblack wine    brooding majesty  gives cornas  reputation  blockbuster  enormous rich sweet tannins   end    quality   superripe fruit  old vines  dominates    certainly  wine  keep  generations,huge blockbuster enormous rich sweet old,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,9,150.0,Cask 23,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Stag's Leap Wine Cellars,  great success oozes  blackcurrant jam  cassis   dash  black pepper flamboyant oak adds  perfume  vanilla  smoke fleshy long  full  beautiful wine    monster   coats  palate  spicy flavors  epitomize class  style,black flamboyant fleshy full beautiful spicy,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,10,75.0,Chevalier de Sterimberg,Rhône-style White Blend,Hermitage,,Rhône Valley,France,Paul Jaboulet Aîné,jaboulets white hermitage  named   crusading knight  built  settled   small chapel   hermitage hill  wine   powerful rich  concentrated  heady perfumes  wild flowers  nuts  palate combines  hint  wood  fullbodied oily texture   stunning burst  acidity  leaves  crisp aftertaste,white small powerful rich heady stunning burst crisp,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
